_id,movieId,title,genres,fileImage,,,
"ObjectId(""5aef41cb04dd5631c0b30547"")",1,"Yards,  The (2000)",Crime|Drama,YardsThe2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30548"")",2,Next Friday (2000),Comedy,NextFriday2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30549"")",3,Supernova (2000),Adventure|Sci-Fi|Thriller,Supernova2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b3054a"")",4,Down to You (2000),Comedy|Romance,DowntoYou2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b3054b"")",5,Isn't She Great? (2000),Comedy,IsntSheGreat2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b3054c"")",6,Scream 3 (2000),Comedy|Horror|Mystery|Thriller,Scream32000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b3054d"")",7,Boondock Saints, The (2000),Action|Crime|Drama|Thriller,BoondockSaintsThe2000.jpg,,
"ObjectId(""5aef41cb04dd5631c0b3054e"")",8,Gun Shy (2000),Comedy,GunShy2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b3054f"")",9,Beach, The (2000),Adventure|Drama,BeachThe2000.jpg,,
"ObjectId(""5aef41cb04dd5631c0b30550"")",10,Snow Day (2000),Comedy,SnowDay2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30551"")",11,Boiler Room (2000),Crime|Drama|Thriller,BoilerRoom2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30552"")",12,Hanging Up (2000),Comedy|Drama,HangingUp2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30553"")",13,Pitch Black (2000),Horror|Sci-Fi|Thriller,PitchBlack2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30554"")",14,Whole Nine Yards, The (2000),Comedy|Crime,WholeNineYardsThe2000.jpg,,
"ObjectId(""5aef41cb04dd5631c0b30555"")",15,Reindeer Games (2000),Action|Thriller,ReindeerGames2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30556"")",16,Wonder Boys (2000),Comedy|Drama,WonderBoys2000.bTsxMTI5MDg4MztqOzE3NzcwOzEyMDA7MTUzNjsyMDQ4,,,
"ObjectId(""5aef41cb04dd5631c0b30557"")",17,Drowning Mona (2000),Comedy,DrowningMona2000.jpg,,,
